koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,1.0000,0,0,0,8.93020,1.0566e+04,8.90,308.0,2.14,138.80,5485.00,4.556,0.8670,15.403
CONFIRMED,0.9500,0,0,0,3.26200,5.5800e+01,0.79,1021.0,256.35,14.40,5854.00,4.406,1.0120,12.882
CONFIRMED,0.7450,0,0,0,6.61880,2.0280e+04,12.19,411.0,6.77,347.20,5485.00,4.556,0.8670,15.403
CONFIRMED,,0,0,0,4.80300,4.8800e+02,1.91,524.0,17.85,11.60,5485.00,4.556,0.8670,15.403
FALSE POSITIVE,0.0000,0,0,1,2.15410,8.1610e+02,25.69,1470.0,1105.68,38.80,5663.00,4.530,0.9150,15.974
FALSE POSITIVE,0.0000,0,0,1,5.41400,5.8920e+02,1.70,918.0,168.45,48.50,4667.00,4.578,0.7310,15.842
CONFIRMED,1.0000,0,0,0,1.96040,1.5044e+04,11.30,1539.0,1329.42,1009.30,5934.00,4.491,0.8930,15.530
CONFIRMED,1.0000,0,0,0,2.33500,1.0087e+03,2.50,886.0,145.48,70.60,5170.00,4.574,0.8070,15.119
CONFIRMED,1.0000,0,0,0,4.05950,2.1055e+03,3.41,518.0,17.06,78.50,4905.00,4.544,0.7610,15.398
CONFIRMED,1.0000,0,0,0,1.91040,1.6326e+03,2.03,656.0,43.73,71.60,3950.00,4.754,0.4930,15.954
FALSE POSITIVE,0.0000,0,1,1,2.00670,1.3392e+03,30.26,1326.0,730.47,64.90,5926.00,4.506,0.9390,15.555
CONFIRMED,1.0000,0,0,0,4.40560,8.9360e+02,3.12,701.0,57.13,46.10,5775.00,4.405,1.0530,15.386
CONFIRMED,1.0000,0,0,0,4.16540,1.4070e+02,1.70,1262.0,598.74,50.60,5847.00,4.191,1.4020,12.487
CONFIRMED,0.9980,0,0,0,4.79300,4.1800e+02,2.76,870.0,135.66,28.50,5775.00,4.405,1.0530,15.386
CONFIRMED,1.0000,0,0,0,5.79400,9.9300e+02,4.02,550.0,21.71,39.70,5775.00,4.405,1.0530,15.386
CONFIRMED,0.9900,0,0,0,2.59959,2.2335e+04,11.58,975.0,213.12,1996.70,5150.00,4.572,0.7930,15.224
CANDIDATE,1.0000,0,0,0,2.93150,4.5236e+03,7.61,511.0,16.10,76.80,5509.00,4.482,0.8710,15.684
CONFIRMED,1.0000,0,0,0,3.59570,2.4721e+03,5.52,964.0,204.39,113.20,5973.00,4.439,1.0850,15.670
CONFIRMED,1.0000,0,0,0,3.82700,1.1823e+03,1.80,329.0,2.77,27.50,3747.00,4.728,0.5240,15.414
CONFIRMED,0.9950,0,0,0,1.34210,8.2430e+02,1.82,469.0,11.39,17.90,3747.00,4.728,0.5240,15.414
CONFIRMED,1.0000,0,0,0,2.27360,1.5580e+03,2.10,460.0,10.55,56.40,3692.00,4.753,0.5170,15.877
FALSE POSITIVE,0.0000,0,1,0,4.34617,8.2872e+04,27.50,500.0,14.81,1300.00,5575.00,4.521,0.9320,15.472
CANDIDATE,0.0000,0,0,0,35.51200,2.4506e+03,30.09,1155.0,421.08,296.90,6463.00,4.500,0.8260,15.270
FALSE POSITIVE,0.0000,0,1,1,5.06420,6.1600e+02,13.65,1031.0,266.76,138.20,5514.00,4.569,0.8260,13.496
CONFIRMED,0.9920,0,0,0,6.09950,4.3020e+02,2.89,874.0,137.91,107.40,5847.00,4.191,1.4020,12.487
CONFIRMED,1.0000,0,0,0,4.37910,1.1754e+03,3.38,639.0,39.33,37.80,5601.00,4.410,0.9990,15.540
FALSE POSITIVE,0.0000,0,1,0,3.31480,1.5148e+04,10.34,814.0,104.00,389.00,5690.00,4.588,0.7760,15.805
CANDIDATE,,0,0,0,1.86060,8.0980e+03,72.77,1947.0,3400.48,89.60,6228.00,4.428,0.9900,15.202
CONFIRMED,1.0000,0,0,0,3.31690,1.5337e+04,11.01,600.0,30.54,166.00,4986.00,4.496,0.8330,16.422
CONFIRMED,1.0000,0,0,0,3.16100,8.8790e+02,2.11,687.0,52.82,39.30,4861.00,4.574,0.7320,15.289
CONFIRMED,1.0000,0,0,0,2.50600,4.1750e+02,1.46,823.0,108.84,21.30,4861.00,4.574,0.7320,15.289
CONFIRMED,1.0000,0,0,0,2.97210,7.8070e+02,2.44,914.0,165.33,70.80,5776.00,4.554,0.8490,15.090
FALSE POSITIVE,0.0370,0,0,1,3.06500,9.6240e+02,3.86,1047.0,284.25,50.30,6108.00,4.471,0.9970,15.546
FALSE POSITIVE,0.0000,0,0,1,4.72110,1.1779e+03,26.25,1261.0,597.19,110.20,5764.00,4.548,0.8630,15.021
CONFIRMED,1.0000,0,0,0,1.84110,1.0859e+04,8.99,1021.0,257.29,568.20,5035.00,4.519,0.7910,15.028
CONFIRMED,1.0000,0,0,0,3.89700,3.0814e+03,5.00,610.0,32.67,86.60,5251.00,4.581,0.8170,15.855
CONFIRMED,0.9980,0,0,0,4.37700,5.0000e+01,1.06,1074.0,314.15,14.70,5847.00,4.191,1.4020,12.487
CONFIRMED,1.0000,0,0,0,5.17600,5.0738e+03,6.50,481.0,12.61,117.20,5251.00,4.581,0.8170,15.855
FALSE POSITIVE,0.0060,0,1,0,3.83100,1.6228e+04,12.28,1104.0,351.05,323.40,5810.00,4.526,0.8980,15.016
FALSE POSITIVE,0.0000,0,1,0,3.49949,4.4791e+04,17.61,796.0,95.03,1671.10,5670.00,4.523,0.8210,15.365
FALSE POSITIVE,0.0000,0,1,0,2.18620,2.4539e+03,31.44,1133.0,388.71,117.20,6046.00,4.539,0.8690,15.446
CONFIRMED,0.9990,0,0,0,8.21830,3.3418e+03,7.89,731.0,67.65,266.30,5739.00,4.191,1.3840,15.084
CONFIRMED,0.9960,0,0,0,6.73720,5.0460e+02,3.06,888.0,146.67,49.10,5739.00,4.191,1.3840,15.084
CONFIRMED,0.9970,0,0,0,4.98430,2.8500e+02,2.32,1146.0,406.94,35.10,5739.00,4.191,1.3840,15.084
CONFIRMED,1.0000,0,0,0,3.38800,1.1590e+02,1.62,1642.0,1718.04,19.90,5739.00,4.191,1.3840,15.084
CONFIRMED,0.9950,0,0,0,3.57970,1.2030e+02,1.53,1458.0,1066.86,50.40,5847.00,4.191,1.4020,12.487
CONFIRMED,0.9890,0,0,0,7.15900,3.7030e+02,2.67,568.0,24.64,19.40,5739.00,4.191,1.3840,15.084
CONFIRMED,1.0000,0,0,0,2.90760,1.0373e+03,2.35,616.0,33.99,48.90,4959.00,4.603,0.7560,15.208
CONFIRMED,0.8780,0,0,0,3.57000,8.6270e+02,2.37,366.0,4.22,20.90,4959.00,4.603,0.7560,15.208
FALSE POSITIVE,0.0000,0,1,1,3.09180,1.2681e+03,17.06,1010.0,244.87,50.50,4794.00,4.580,0.7010,15.836
CONFIRMED,1.0000,0,0,0,2.63120,8.7540e+02,2.25,696.0,55.37,38.40,4768.00,4.536,0.7790,15.660
